asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered,n_calibrated,mean_observed,mean_predicted,gain_calibrated,share_at_high_wer,n_clean_at_high_wer,refused
parakeet-tdt-0.6b-v3,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,349,67,12,0.49140020832611325,0.452991452991453,0.5857377841365706,0.2980769230769231,0.7164179104477612,0.2177650429799427,0.5085997916738867,0.29678487106633744,-0.290834748693944,-0.07901982808639474,191,0,0.5989097290144413,0.3507853403141361,0.4010902709855587,-0.05030493067142261,False,416,0.2980769230769231,0.35997438841005186,-0.06189746533312879,0.2668269230769231,8,
parakeet-tdt-0.6b-v3,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,249,167,4,0.20525988128988829,0.125,0.34292413902246444,0.5192307692307693,0.6646706586826348,0.42168674698795183,0.7947401187101117,0.4367390453203979,-0.3730533717221599,-0.01505229833244609,129,0,0.33994667896136693,0.7364341085271318,0.660053321038633,0.07638078748849875,False,416,0.5192307692307693,0.5261464499296687,-0.0069156806988994735,0.055288461538461536,8,
parakeet-tdt-0.6b-v3,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,223,193,0,0.17031296125788473,0.09545454545454546,0.31771386494744475,0.5408653846153846,0.6683937823834197,0.4304932735426009,0.8296870387421152,0.4560358104755422,-0.3991937651995143,-0.025542536932941284,111,0,0.3048505423505423,0.8288288288288288,0.6951494576494577,0.13367937117937112,False,416,0.5408653846153846,0.5483061853935706,-0.007440800778185985,0.04326923076923077,8,
parakeet-tdt-0.6b-v3,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,199,217,0,0.13803166057971875,0.0,0.2885485969907696,0.5673076923076923,0.6774193548387096,0.4472361809045226,0.8619683394202813,0.48195095042560765,-0.4147321585157587,-0.03471476952108504,0,0,,,,,True,0,,,,,,
parakeet-tdt-0.6b-v3,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,235,181,1,0.2055457339606093,0.11805555555555555,0.3638596822451644,0.5240384615384616,0.6795580110497238,0.40425531914893614,0.7944542660393907,0.43229424908201536,-0.3901989468904546,-0.028038929933079215,120,0,0.32451354201354204,0.7416666666666667,0.6754864579864579,0.0661802086802088,False,416,0.5240384615384616,0.5262785069629601,-0.0022400454244985157,0.055288461538461536,8,
parakeet-tdt-0.6b-v3,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,213,203,2,0.1577827572977086,0.07692307692307693,0.30815787340773193,0.5625,0.6748768472906403,0.45539906103286387,0.8422172427022914,0.46690823321744196,-0.3868181816694275,-0.011509172184578087,104,0,0.27356568729291386,0.9134615384615384,0.7264343127070861,0.1870272257544523,False,416,0.5625,0.554899244091928,0.0076007559080719655,0.02403846153846154,8,
parakeet-tdt-0.6b-v3,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,204,212,0,0.1446443765812029,0.0,0.294961081655787,0.5649038461538461,0.6839622641509434,0.4411764705882353,0.8553556234187971,0.48222001490524,-0.41417915283056184,-0.04104354431700474,92,0,0.24934109162513043,0.967391304347826,0.7506589083748696,0.21673239597295646,False,416,0.5649038461538461,0.5635898283408813,0.0013140178129648072,0.026442307692307692,8,
parakeet-tdt-0.6b-v3,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,235,181,0,0.19411587442377862,0.1111111111111111,0.3436263989799661,0.5408653846153846,0.6685082872928176,0.4425531914893617,0.8058841255762214,0.43879119184212206,-0.3633309340868597,0.003761999647239611,119,0,0.33985292252098975,0.7899159663865546,0.6601470774790102,0.12976888890754434,False,416,0.5408653846153846,0.5328094288350684,0.008055955780316149,0.04567307692307692,8,
parakeet-tdt-0.6b-v3,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,197,219,0,0.14553418345764724,0.0,0.30732091532173283,0.5721153846153846,0.684931506849315,0.4467005076142132,0.8544658165423528,0.47443772923168975,-0.40776530892813956,-0.02773722161747655,89,0,0.25974305443554396,0.9438202247191011,0.7402569455644561,0.203563279154645,False,416,0.5721153846153846,0.5630825061196448,0.009032878495739749,0.026442307692307692,8,
parakeet-tdt-0.6b-v3,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,416,200,216,0,0.14193328411222533,0.0,0.2952212309534295,0.5600961538461539,0.6759259259259259,0.435,0.8580667158877746,0.47637824204073753,-0.4230667158877746,-0.041378242040737534,90,0,0.25582520143923637,0.9444444444444444,0.7441747985607636,0.2002696458836808,False,416,0.5600961538461539,0.5648647899509942,-0.004768636104840351,0.019230769230769232,8,
