asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered,n_calibrated,mean_observed,mean_predicted,gain_calibrated,share_at_high_wer,n_clean_at_high_wer,refused
parakeet-tdt-0.6b-v3,babble,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,349,67,12,0.49140020832611325,0.452991452991453,0.5857377841365706,0.31490384615384615,0.7910447761194029,0.22349570200573066,0.5085997916738867,0.3276999618024143,-0.28510408966815604,-0.10420425979668363,216,0,0.566662135371286,0.32407407407407407,0.43333786462871404,-0.10926379055463997,False,416,0.31490384615384615,0.4009367459378399,-0.08603289978399375,0.2668269230769231,8,
parakeet-tdt-0.6b-v3,babble,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,249,167,4,0.20525988128988829,0.125,0.3429241390224644,0.5793269230769231,0.7425149700598802,0.46987951807228917,0.7947401187101117,0.4878886632408048,-0.32486060063782257,-0.01800914516851565,146,0,0.3084706302410618,0.7328767123287672,0.6915293697589382,0.04134734256982897,False,416,0.5793269230769231,0.594760118982981,-0.01543319590605785,0.055288461538461536,8,
parakeet-tdt-0.6b-v3,babble,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,223,193,0,0.17031296125788473,0.09545454545454546,0.3177138649474448,0.6177884615384616,0.7461139896373057,0.5067264573991032,0.8296870387421152,0.5090632302982795,-0.3229605813430121,-0.0023367728991763315,126,0,0.2842647684559449,0.8412698412698413,0.715735231544055,0.12553460972578623,False,416,0.6177884615384616,0.6201144308714733,-0.002325969333011768,0.04326923076923077,8,
parakeet-tdt-0.6b-v3,clean,,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,199,217,0,0.13803166057971875,0.0,0.2885485969907696,0.6418269230769231,0.7649769585253456,0.507537688442211,0.8619683394202813,0.544243930412591,-0.35443065097807025,-0.03670624197037997,0,0,,,,,True,0,,,,,,
parakeet-tdt-0.6b-v3,clipping,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,235,181,1,0.2055457339606093,0.11805555555555555,0.36385968224516435,0.5841346153846154,0.7569060773480663,0.451063829787234,0.7944542660393907,0.48149847255476513,-0.3433904362521567,-0.030434642767531106,135,0,0.31577752796707065,0.7407407407407407,0.6842224720329293,0.0565182687078114,False,416,0.5841346153846154,0.5944066913088439,-0.010272075924228519,0.055288461538461536,8,
parakeet-tdt-0.6b-v3,clipping,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,213,203,2,0.1577827572977086,0.07692307692307693,0.3081578734077321,0.6298076923076923,0.7586206896551724,0.5070422535211268,0.8422172427022914,0.5248457512079273,-0.3351749891811646,-0.017803497686800562,117,0,0.26618799715568775,0.8888888888888888,0.7338120028443123,0.1550768860445766,False,416,0.6298076923076923,0.62754367827627,0.00226401403142229,0.02403846153846154,8,
parakeet-tdt-0.6b-v3,clipping,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,204,212,0,0.1446443765812029,0.0,0.294961081655787,0.6418269230769231,0.7783018867924528,0.5,0.8553556234187971,0.548733120409411,-0.3553556234187971,-0.048733120409411024,104,0,0.24222438295245796,0.9519230769230769,0.757775617047542,0.19414745987553483,False,416,0.6418269230769231,0.6375760754066838,0.0042508476702393105,0.026442307692307692,8,
parakeet-tdt-0.6b-v3,codec,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,235,181,0,0.19411587442377862,0.1111111111111111,0.3436263989799661,0.6009615384615384,0.7734806629834254,0.46808510638297873,0.8058841255762214,0.5076922880817941,-0.3377990191932426,-0.039607181698815386,131,0,0.3112248893400667,0.7633587786259542,0.6887751106599334,0.0745836679660209,False,416,0.6009615384615384,0.6022169180591643,-0.0012553795976258941,0.04567307692307692,8,
parakeet-tdt-0.6b-v3,codec,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,197,219,0,0.14553418345764724,0.0,0.30732091532173283,0.6394230769230769,0.7671232876712328,0.49746192893401014,0.8544658165423528,0.5313702567394926,-0.3570038876083426,-0.03390832780548242,101,0,0.2626553019504311,0.9207920792079208,0.7373446980495689,0.1834473811583519,False,416,0.6394230769230769,0.6367656815515771,0.0026573953714997822,0.026442307692307692,8,
parakeet-tdt-0.6b-v3,codec,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,200,216,0,0.14193328411222533,0.0,0.2952212309534295,0.6514423076923077,0.7638888888888888,0.53,0.8580667158877746,0.5383726707994636,-0.3280667158877746,-0.008372670799463577,103,0,0.24755268760949714,0.970873786407767,0.7524473123905029,0.21842647401726412,False,416,0.6514423076923077,0.6388543872098201,0.01258792048248758,0.019230769230769232,8,
