asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered,n_calibrated,mean_observed,mean_predicted,gain_calibrated,share_at_high_wer,n_clean_at_high_wer,refused
parakeet-tdt-0.6b-v3,babble,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,349,67,12,0.49140020832611325,0.452991452991453,0.5857377841365705,0.2668269230769231,0.7014925373134329,0.1833810888252149,0.5085997916738867,0.29060185291912216,-0.3252187028486718,-0.10722076409390727,198,0,0.5480908442584027,0.30303030303030304,0.4519091557415973,-0.14887885271129425,False,416,0.2668269230769231,0.35195009087416435,-0.08512316779724127,0.2668269230769231,8,
parakeet-tdt-0.6b-v3,babble,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,249,167,4,0.20525988128988829,0.125,0.34292413902246444,0.5288461538461539,0.7005988023952096,0.41365461847389556,0.7947401187101117,0.46034656128366264,-0.3810855002362162,-0.04669194280976707,132,0,0.3014209599700735,0.7196969696969697,0.6985790400299265,0.021117929667043178,False,416,0.5288461538461539,0.5357368430864982,-0.006890689240344305,0.055288461538461536,8,
parakeet-tdt-0.6b-v3,babble,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,223,193,0,0.17031296125788473,0.09545454545454546,0.3177138649474448,0.5649038461538461,0.6839378238341969,0.4618834080717489,0.8296870387421152,0.46664129444008956,-0.36780363067036637,-0.00475788636834068,114,0,0.2724959043650993,0.8508771929824561,0.7275040956349007,0.12337309734755542,False,416,0.5649038461538461,0.5606825094878127,0.004221336666033415,0.04326923076923077,8,
parakeet-tdt-0.6b-v3,clean,,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,199,217,0,0.13803166057971875,0.0,0.2885485969907696,0.5817307692307693,0.695852534562212,0.457286432160804,0.8619683394202813,0.49506526200181467,-0.4046819072594773,-0.037778829841010664,0,0,,,,,True,0,,,,,,
parakeet-tdt-0.6b-v3,clipping,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,235,181,1,0.2055457339606093,0.11805555555555555,0.36385968224516435,0.5432692307692307,0.7016574585635359,0.42127659574468085,0.7944542660393907,0.4463525986456582,-0.3731776702947099,-0.025076002900977334,123,0,0.3179407910756547,0.7560975609756098,0.6820592089243454,0.07403835205126441,False,416,0.5432692307692307,0.5359432338941521,0.007325996875078622,0.055288461538461536,8,
parakeet-tdt-0.6b-v3,clipping,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,213,203,2,0.1577827572977086,0.07692307692307693,0.308157873407732,0.5673076923076923,0.6847290640394089,0.45539906103286387,0.8422172427022914,0.473724411804558,-0.3868181816694275,-0.018325350771694116,109,0,0.26637448378934436,0.8715596330275229,0.7336255162106556,0.1379341168168673,False,416,0.5673076923076923,0.5678017141934754,-0.0004940218857830692,0.02403846153846154,8,
parakeet-tdt-0.6b-v3,clipping,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,204,212,0,0.1446443765812029,0.0,0.294961081655787,0.5841346153846154,0.7075471698113207,0.45588235294117646,0.8553556234187971,0.4988482912812827,-0.39947327047762066,-0.04296593834010626,95,0,0.2408314135758326,0.968421052631579,0.7591685864241674,0.20925246620741156,False,416,0.5841346153846154,0.5776544792337265,0.006480136150888938,0.026442307692307692,8,
parakeet-tdt-0.6b-v3,codec,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,235,181,0,0.19411587442377862,0.1111111111111111,0.3436263989799661,0.5432692307692307,0.7016574585635359,0.42127659574468085,0.8058841255762214,0.4605494327599132,-0.3846075298315405,-0.039272837015232376,119,0,0.3204652757853449,0.7394957983193278,0.6795347242146551,0.05996107410467266,False,416,0.5432692307692307,0.5431314726083921,0.00013775816083860803,0.04567307692307692,8,
parakeet-tdt-0.6b-v3,codec,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,197,219,0,0.14553418345764724,0.0,0.30732091532173283,0.5865384615384616,0.7031963470319634,0.45685279187817257,0.8544658165423528,0.4870894020112015,-0.3976130246641802,-0.03023661013302892,92,0,0.25427042539877365,0.9239130434782609,0.7457295746012264,0.1781834688770345,False,416,0.5865384615384616,0.577097146581947,0.009441314956514568,0.026442307692307692,8,
parakeet-tdt-0.6b-v3,codec,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,200,216,0,0.14193328411222533,0.0,0.2952212309534295,0.5865384615384616,0.6898148148148148,0.475,0.8580667158877746,0.48616683605527317,-0.38306671588777463,-0.011166836055273188,93,0,0.2403302763609364,0.967741935483871,0.7596697236390636,0.2080722118448074,False,416,0.5865384615384616,0.5790005257963194,0.007537935742142121,0.019230769230769232,8,
parakeet-tdt-0.6b-v3,farfield,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,221,195,1,0.16074765677070518,0.09545454545454546,0.3025838245095633,0.5649038461538461,0.7025641025641025,0.4434389140271493,0.8392523432292949,0.4899795694471273,-0.3958134292021456,-0.04654065541997798,110,0,0.24880214853476876,0.8181818181818182,0.7511978514652312,0.06698396671658702,False,416,0.5649038461538461,0.5664850806545162,-0.001581234500670048,0.03365384615384615,8,
parakeet-tdt-0.6b-v3,farfield,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,204,212,1,0.14199507384426766,0.0,0.2895585819569386,0.5793269230769231,0.7028301886792453,0.45098039215686275,0.8580049261557323,0.4993196758887554,-0.40702453399886956,-0.04833928373189267,97,0,0.2576455844876099,0.8969072164948454,0.7423544155123901,0.15455280098245527,False,416,0.5793269230769231,0.579216490740054,0.00011043233686913734,0.021634615384615384,8,
parakeet-tdt-0.6b-v3,farfield,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,199,217,1,0.1370241914006053,0.0,0.28644253076709514,0.5841346153846154,0.695852534562212,0.4623115577889447,0.8629758085993947,0.4965307735215144,-0.40066425081045,-0.0342192157325697,93,0,0.23328889291887386,0.946236559139785,0.7667111070811261,0.17952545205865889,False,416,0.5841346153846154,0.5824335344334272,0.0017010809511882607,0.021634615384615384,8,
parakeet-tdt-0.6b-v3,noise,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,349,67,25,0.44753448667494394,0.3875,0.5334508494463518,0.3004807692307692,0.6716417910447762,0.22922636103151864,0.552465513325056,0.3133539070882712,-0.3232391522935374,-0.08412754605675257,199,0,0.48245201879589006,0.3869346733668342,0.5175479812041099,-0.13061330783727576,False,416,0.3004807692307692,0.37710709116544666,-0.07662632193467744,0.21875,8,
parakeet-tdt-0.6b-v3,noise,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,278,138,5,0.2547502947226095,0.16666666666666666,0.3812090741172868,0.47836538461538464,0.7028985507246377,0.3669064748201439,0.7452497052773905,0.4349472450045158,-0.37834323045724666,-0.06804077018437193,151,0,0.33426596475260695,0.6423841059602649,0.665734035247393,-0.0233499292871282,False,416,0.47836538461538464,0.5013112058881248,-0.022945821272740197,0.07211538461538461,8,
parakeet-tdt-0.6b-v3,noise,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,228,188,2,0.16465495705167707,0.1111111111111111,0.30042307953288516,0.5649038461538461,0.7021276595744681,0.4517543859649123,0.8353450429483229,0.49119230585988916,-0.3835906569834106,-0.03943791989497686,116,0,0.24558992478850747,0.8103448275862069,0.7544100752114925,0.05593475237471435,False,416,0.5649038461538461,0.5622518193784857,0.002652026775360472,0.021634615384615384,8,
parakeet-tdt-0.6b-v3,reverb,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,328,88,13,0.3545824242787059,0.2857142857142857,0.44971429420713965,0.3870192307692308,0.7045454545454546,0.3018292682926829,0.6454175757212941,0.38770129271769704,-0.3435883074286112,-0.08587202442501413,183,0,0.406416391659756,0.4972677595628415,0.5935836083402439,-0.0963158487774024,False,416,0.3870192307692308,0.43432171267197783,-0.04730248190274705,0.13221153846153846,8,
parakeet-tdt-0.6b-v3,reverb,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,262,154,3,0.22324714420228217,0.14285714285714285,0.3544687480463722,0.5144230769230769,0.7337662337662337,0.38549618320610685,0.7767528557977178,0.4736690355244152,-0.39125667259161095,-0.08817285231830835,133,0,0.3117897407237243,0.6992481203007519,0.6882102592762758,0.011037861024476125,False,416,0.5144230769230769,0.5223048728560209,-0.007881795932944025,0.05048076923076923,8,
parakeet-tdt-0.6b-v3,reverb,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,219,197,1,0.1645624536100689,0.09090909090909091,0.3125935191862502,0.5552884615384616,0.7106598984771574,0.4155251141552511,0.8354375463899311,0.48851221986763943,-0.41991243223467994,-0.07298710571238831,107,0,0.2737810197511883,0.822429906542056,0.7262189802488117,0.09621092629324435,False,416,0.5552884615384616,0.562962845886174,-0.007674384347712393,0.028846153846153848,8,
whisper-base-mlx,babble,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,406,10,133,0.7896971521989194,1.0,0.809147820972292,0.09375,0.6,0.0812807881773399,0.21030284780108055,0.1145113074166248,-0.12902205962374064,-0.0332305192392849,192,0,0.7794368795862362,0.140625,0.2205631204137638,-0.0799381204137638,False,416,0.09375,0.1581089677005905,-0.06435896770059049,0.6346153846153846,31,
whisper-base-mlx,babble,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,338,78,21,0.4170617266670641,0.35714285714285715,0.5133067405133098,0.3389423076923077,0.717948717948718,0.2514792899408284,0.5829382733329359,0.3494208016827519,-0.3314589833921075,-0.0979415117419235,145,0,0.4195932194325491,0.5241379310344828,0.5804067805674509,-0.05626884953296807,False,416,0.3389423076923077,0.3849722615975498,-0.046029953905242116,0.18509615384615385,31,
whisper-base-mlx,babble,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,304,112,12,0.3371699651145833,0.2727272727272727,0.4613904785778513,0.43028846153846156,0.7410714285714286,0.3157894736842105,0.6628300348854167,0.3991481274824852,-0.3470405612012062,-0.08335865379827467,119,0,0.35166036981377674,0.7563025210084033,0.6483396301862232,0.10796289082218014,False,416,0.43028846153846156,0.44156995962102114,-0.011281498082559571,0.125,31,
whisper-base-mlx,clean,,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,290,126,9,0.28608445452755454,0.2222222222222222,0.4103832175291823,0.47596153846153844,0.7063492063492064,0.3758620689655172,0.7139155454724455,0.41647534634843475,-0.3380534765069283,-0.040613277382917534,0,0,,,,,True,0,,,,,,
whisper-base-mlx,clipping,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,357,59,30,0.48233641012715994,0.42857142857142855,0.5620502706243655,0.3173076923076923,0.7796610169491526,0.24089635854341737,0.5176635898728401,0.3414523313776133,-0.2767672313294227,-0.10055597283419596,156,0,0.47683717550278065,0.47435897435897434,0.5231628244972193,-0.04880385013824495,False,416,0.3173076923076923,0.3431503360562801,-0.0258426437485878,0.2644230769230769,31,
