asr,degradation,snr_db,llm,n,n_tsa,n_with_asr_error,n_collapse,mean_wer,median_wer,mean_tsa,naive_baseline,absorption_rate,absorption_gain
parakeet-tdt-0.6b-v3,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,389,322,12,0.4914002083261133,0.46153846153846156,0.4370179948586118,0.5085997916738867,0.34782608695652173,-0.16077370471736496
parakeet-tdt-0.6b-v3,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,412,245,4,0.2052598812898886,0.125,0.6796116504854369,0.7947401187101114,0.5877551020408164,-0.20698501666929503
parakeet-tdt-0.6b-v3,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,408,215,0,0.17031296125788503,0.1,0.7058823529411765,0.8296870387421149,0.6046511627906976,-0.22503587595141727
parakeet-tdt-0.6b-v3,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,416,414,197,0,0.1380316605797191,0.0,0.7391304347826086,0.8619683394202808,0.6548223350253807,-0.20714600439490016
parakeet-tdt-0.6b-v3,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,412,231,1,0.20554573396060968,0.125,0.6796116504854369,0.7944542660393903,0.5670995670995671,-0.22735469893982319
parakeet-tdt-0.6b-v3,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,414,211,2,0.1577827572977089,0.07692307692307693,0.7270531400966184,0.8422172427022911,0.6398104265402843,-0.20240681616200684
parakeet-tdt-0.6b-v3,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,412,200,0,0.14464437658120322,0.0,0.7402912621359223,0.8553556234187968,0.665,-0.19035562341879675
parakeet-tdt-0.6b-v3,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,415,234,0,0.19411587442377892,0.1111111111111111,0.6867469879518072,0.805884125576221,0.5854700854700855,-0.22041404010613552
parakeet-tdt-0.6b-v3,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,412,193,0,0.14553418345764751,0.0,0.7427184466019418,0.8544658165423524,0.6528497409326425,-0.20161607560970995
parakeet-tdt-0.6b-v3,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,414,198,0,0.14193328411222572,0.0,0.7342995169082126,0.8580667158877743,0.6464646464646465,-0.21160206942312776
parakeet-tdt-0.6b-v3,farfield,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,413,218,1,0.16074765677070543,0.1,0.7094430992736077,0.8392523432292945,0.6284403669724771,-0.21081197625681747
parakeet-tdt-0.6b-v3,farfield,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,415,203,1,0.141995073844268,0.0,0.7253012048192771,0.858004926155732,0.645320197044335,-0.21268472911139702
parakeet-tdt-0.6b-v3,farfield,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,414,197,1,0.1370241914006056,0.0,0.7367149758454107,0.8629758085993944,0.6446700507614214,-0.218305757837973
parakeet-tdt-0.6b-v3,noise,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,413,346,25,0.44753448667494433,0.4,0.43341404358353514,0.5524655133250557,0.35260115606936415,-0.19986435725569152
parakeet-tdt-0.6b-v3,noise,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,415,277,5,0.2547502947226099,0.16666666666666666,0.6385542168674698,0.7452497052773901,0.5379061371841155,-0.2073435680932746
parakeet-tdt-0.6b-v3,noise,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,228,2,0.1646549570516774,0.1111111111111111,0.7019230769230769,0.8353450429483226,0.6008771929824561,-0.23446784996586645
parakeet-tdt-0.6b-v3,reverb,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,411,323,13,0.35458242427870623,0.2857142857142857,0.5352798053527981,0.6454175757212938,0.44891640866873067,-0.1965011670525631
parakeet-tdt-0.6b-v3,reverb,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,414,260,3,0.22324714420228245,0.14285714285714285,0.6521739130434783,0.7767528557977176,0.5461538461538461,-0.23059900964387148
parakeet-tdt-0.6b-v3,reverb,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,414,217,1,0.16456245361006921,0.09090909090909091,0.717391304347826,0.8354375463899308,0.6267281105990783,-0.20870943579085255
whisper-base-mlx,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,406,133,0.7896971521989198,1.0,0.16346153846153846,0.21030284780108022,0.15024630541871922,-0.060056542382360995
whisper-base-mlx,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,338,21,0.41706172666706426,0.35714285714285715,0.4807692307692308,0.5829382733329358,0.3994082840236686,-0.18352998930926717
whisper-base-mlx,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,304,12,0.3371699651145837,0.2727272727272727,0.5793269230769231,0.6628300348854164,0.4868421052631579,-0.17598792962225845
whisper-base-mlx,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,290,9,0.286084454527555,0.2222222222222222,0.6201923076923077,0.7139155454724451,0.5448275862068965,-0.16908795926554854
whisper-base-mlx,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,357,30,0.4823364101271599,0.42857142857142855,0.43990384615384615,0.5176635898728401,0.3753501400560224,-0.1423134498168177
whisper-base-mlx,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,312,17,0.34131475195167826,0.2857142857142857,0.5576923076923077,0.6586852480483217,0.47115384615384615,-0.1875314018944756
whisper-base-mlx,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,297,9,0.29325301615383736,0.25,0.6033653846153846,0.7067469838461626,0.5185185185185185,-0.18822846532764415
whisper-base-mlx,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,338,20,0.3874781168144357,0.3333333333333333,0.5432692307692307,0.6125218831855643,0.4881656804733728,-0.12435620271219155
whisper-base-mlx,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,304,8,0.29910941367631233,0.25,0.6009615384615384,0.7008905863236876,0.5394736842105263,-0.1614169021131613
whisper-base-mlx,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,291,5,0.2828850841000313,0.2222222222222222,0.6322115384615384,0.7171149158999687,0.5670103092783505,-0.15010460662161818
whisper-base-mlx,farfield,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,311,15,0.3248126224129626,0.25,0.5961538461538461,0.6751873775870374,0.5401929260450161,-0.13499445154202128
whisper-base-mlx,farfield,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,298,15,0.2991874129536186,0.25,0.5889423076923077,0.7008125870463814,0.5100671140939598,-0.1907454729524216
whisper-base-mlx,farfield,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,290,9,0.2886417192525234,0.2222222222222222,0.6129807692307693,0.7113582807474765,0.5310344827586206,-0.1803237979888559
whisper-base-mlx,noise,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,400,84,0.7527001094839044,0.9,0.18028846153846154,0.24729989051609558,0.16,-0.08729989051609557
