asr,degradation,snr_db,n,ees_qwen9b,ees_qwen27b,gap_27b_minus_9b
mlx-community/whisper-large-v3-turbo,babble,20,416,0.540865,0.548077,0.007212
mlx-community/whisper-large-v3-turbo,babble,10,416,0.495192,0.514423,0.019231
mlx-community/whisper-large-v3-turbo,babble,0,416,0.283654,0.271635,-0.012019
mlx-community/whisper-large-v3-turbo,clean,,416,0.564904,0.574519,0.009615
mlx-community/whisper-large-v3-turbo,clipping,20,416,0.579327,0.588942,0.009615
mlx-community/whisper-large-v3-turbo,clipping,10,416,0.560096,0.569712,0.009615
mlx-community/whisper-large-v3-turbo,clipping,0,416,0.512019,0.514423,0.002404
mlx-community/whisper-large-v3-turbo,codec,20,416,0.562500,0.576923,0.014423
mlx-community/whisper-large-v3-turbo,codec,10,416,0.548077,0.564904,0.016827
mlx-community/whisper-large-v3-turbo,codec,0,416,0.502404,0.519231,0.016827
mlx-community/whisper-large-v3-turbo,farfield,20,416,0.572115,0.584135,0.012019
mlx-community/whisper-large-v3-turbo,farfield,10,416,0.550481,0.550481,0.000000
mlx-community/whisper-large-v3-turbo,farfield,0,416,0.526442,0.538462,0.012019
mlx-community/whisper-large-v3-turbo,noise,20,416,0.524038,0.531250,0.007212
mlx-community/whisper-large-v3-turbo,noise,10,416,0.466346,0.468750,0.002404
mlx-community/whisper-large-v3-turbo,noise,0,416,0.274038,0.262019,-0.012019
mlx-community/whisper-large-v3-turbo,reverb,20,416,0.548077,0.555288,0.007212
mlx-community/whisper-large-v3-turbo,reverb,10,416,0.466346,0.471154,0.004808
mlx-community/whisper-large-v3-turbo,reverb,0,416,0.312500,0.326923,0.014423
