comparison,role,degradation,snr_db,scope,n_pairs,cascade_rate,omni_rate,gain_pathway,ci_lo,ci_hi,underpowered
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,babble,0,cell,360,0.21388888888888888,0.42777777777777776,0.21388888888888888,0.169012165636873,0.26184518566134163,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,babble,10,cell,256,0.39453125,0.56640625,0.171875,0.11417060866441127,0.22821903486130618,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,babble,20,cell,241,0.42738589211618255,0.5892116182572614,0.16182572614107887,0.10300429184549359,0.22175732217573224,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,clean,,anchor,225,0.4577777777777778,0.6222222222222222,0.16444444444444445,0.10637827151195636,0.22124075148701575,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,clipping,0,cell,264,0.4090909090909091,0.625,0.21590909090909088,0.15503732944306187,0.2771638825992224,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,clipping,10,cell,234,0.45726495726495725,0.6196581196581197,0.16239316239316243,0.10572083124221644,0.22267249004865103,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,clipping,20,cell,220,0.4681818181818182,0.6136363636363636,0.14545454545454545,0.08372093023255811,0.20930994211434956,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,codec,0,cell,256,0.4140625,0.63671875,0.22265625,0.15853150406504063,0.2862874583795782,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,codec,10,cell,226,0.4336283185840708,0.6150442477876106,0.18141592920353977,0.12173913043478268,0.24657687818662083,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,codec,20,cell,223,0.4484304932735426,0.600896860986547,0.15246636771300442,0.09048754636989932,0.2098329022029372,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,farfield,0,cell,241,0.43983402489626555,0.6348547717842323,0.19502074688796678,0.13468787515006003,0.2541147229321198,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,farfield,10,cell,230,0.43478260869565216,0.6260869565217392,0.19130434782608702,0.13222958459242004,0.25210084033613445,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,farfield,20,cell,223,0.47085201793721976,0.6143497757847534,0.1434977578475336,0.08331310679611649,0.20446153846153842,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,noise,0,cell,369,0.2086720867208672,0.46883468834688347,0.26016260162601623,0.20810810810810815,0.3136783214179326,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,noise,10,cell,295,0.3864406779661017,0.5898305084745763,0.2033898305084746,0.14428441069115744,0.26213846832778864,False
